X,Y,E
0.015,nan,0
0.045,nan,0
0.075,nan,0
0.105,nan,0
0.135,nan,0
0.165,nan,0
0.195,nan,0
0.225,nan,0
0.255,nan,0
0.285,nan,0
0.315,nan,0
0.345,nan,0
0.375,nan,0
0.405,nan,0
0.435,nan,0
0.465,nan,0
0.495,nan,0
0.525,nan,0
0.555,nan,0
0.585,nan,0
0.615,nan,0
0.645,nan,0
0.675,nan,0
0.705,nan,0
0.735,nan,0
0.765,nan,0
0.795,nan,0
0.825,nan,0
0.855,nan,0
0.885,nan,0
0.915,nan,0
0.945,nan,0
0.975,nan,0
1.005,nan,0
1.035,nan,0
1.065,nan,0
1.095,nan,0
1.125,nan,0
1.155,nan,0
1.185,nan,0
1.215,nan,0
1.245,nan,0
1.275,nan,0
1.305,nan,0
1.335,nan,0
1.365,nan,0
1.395,nan,0
1.425,nan,0
1.455,nan,0
1.485,nan,0
1.515,nan,0
1.545,nan,0
1.575,nan,0
1.605,nan,0
1.635,nan,0
1.665,nan,0
1.695,nan,0
1.725,nan,0
1.755,nan,0
1.785,nan,0
1.815,nan,0
1.845,nan,0
1.875,nan,0
1.905,nan,0
1.935,nan,0
1.965,nan,0
1.995,nan,0
2.025,nan,0
2.055,nan,0
2.085,nan,0
2.115,nan,0
2.145,nan,0
2.175,nan,0
2.205,nan,0
2.235,nan,0
2.265,nan,0
2.295,nan,0
2.325,nan,0
2.355,nan,0
2.385,nan,0
2.415,nan,0
2.445,nan,0
2.475,nan,0
2.505,nan,0
2.535,nan,0
2.565,nan,0
2.595,nan,0
2.625,nan,0
2.655,nan,0
2.685,nan,0
2.715,nan,0
2.745,nan,0
2.775,nan,0
2.805,nan,0
2.835,nan,0
2.865,nan,0
2.895,nan,0
2.925,nan,0
2.955,nan,0
2.985,nan,0
3.015,nan,0
3.045,0.208983,0.456374
3.075,0.136498,0.0369979
3.105,0.126483,0.0189949
3.135,0.131549,0.0266205
3.165,0.119869,0.0122767
3.195,0.109182,0.0167661
3.225,0.119317,0.00799718
3.255,0.137792,0.028216
3.285,0.137144,0.00870912
3.315,0.130322,0.0521311
3.345,0.134199,0.00729401
3.375,0.138057,0.00543131
3.405,0.130031,0.00766211
3.435,0.134257,0.00504265
3.465,0.137628,0.015916
3.495,0.135988,0.00538198
3.525,0.13569,0.136666
3.555,0.138825,0.00549615
3.585,0.141606,0.00439836
3.615,0.136145,0.00771959
3.645,0.141571,0.00440463
3.675,0.144254,0.00416181
3.705,0.145798,0.00413252
3.735,0.146984,0.0041907
3.765,0.147179,0.00427055
3.795,0.150909,0.00441874
3.825,0.150533,0.00446695
3.855,0.15075,0.00453028
3.885,0.151216,0.00459515
3.915,0.154707,0.00472461
3.945,0.157261,0.0048235
3.975,0.156991,0.00485943
4.005,0.156389,0.00488661
4.035,0.163626,0.00504955
4.065,0.164908,0.00509434
4.095,0.159657,0.00502919
4.125,0.155284,0.00500402
4.155,0.157972,0.00512015
4.185,0.164639,0.00531896
4.215,0.166388,0.00544952
4.245,0.16313,0.00549989
4.275,0.168474,0.00571666
4.305,0.179821,0.00605536
4.335,0.17348,0.00606254
4.365,0.1702,0.00614022
4.395,0.170045,0.00627706
4.425,0.172601,0.00646497
4.455,0.178716,0.00671183
4.485,0.183091,0.00690224
4.515,0.184793,0.00711333
4.545,0.183986,0.00727077
4.575,0.185545,0.00743445
4.605,0.189539,0.00766301
4.635,0.194826,0.00785447
4.665,0.18596,0.00768578
4.695,0.184934,0.00767793
4.725,0.185386,0.0077128
4.755,0.186583,0.00777248
4.785,0.190986,0.00785721
4.815,0.184588,0.00766673
4.845,0.1885,0.00774296
4.875,0.196037,0.00791111
4.905,0.188317,0.00774076
4.935,0.202449,0.00805533
4.965,0.204631,0.00811652
4.995,0.203469,0.00808591
5.025,0.206586,0.00814389
5.055,0.200122,0.0080621
5.085,0.191388,0.00790644
5.115,0.196866,0.00803012
5.145,0.205247,0.00825113
5.175,0.197842,0.00808273
5.205,0.203538,0.00819086
5.235,0.201471,0.0081437
5.265,0.203752,0.00816983
5.295,0.199431,0.00805902
5.325,0.202628,0.00818674
5.355,0.210406,0.00835181
5.385,0.211102,0.00836198
5.415,0.207115,0.00829855
5.445,0.20899,0.00832522
5.475,0.215008,0.00843781
5.505,0.217566,0.00853097
5.535,0.216505,0.00850159
5.565,0.224177,0.00864812
5.595,0.222564,0.00868111
5.625,0.216737,0.00860478
5.655,0.213385,0.00853502
5.685,0.216019,0.00854806
5.715,0.223337,0.00865323
5.745,0.221856,0.00893506
5.775,0.220448,0.00993035
5.805,0.231302,0.0106229
5.835,0.240588,0.0101959
5.865,0.242604,0.00964335
5.895,0.243674,0.00946794
5.925,0.23667,0.00932998
5.955,0.230662,0.00919914
5.985,0.228541,0.00908725
6.015,0.240269,0.00928869
6.045,0.244361,0.00946603
6.075,0.233623,0.00924608
6.105,0.227822,0.00902963
6.135,0.233395,0.00906475
6.165,0.224332,0.008506
6.195,0.205487,0.00790184
6.225,0.201009,0.00777713
6.255,0.213424,0.00826114
6.285,0.22832,0.00872719
6.315,0.23803,0.00921065
6.345,0.242758,0.00913939
6.375,0.251691,0.0095045
6.405,0.240003,0.00923565
6.435,0.239817,0.00917268
6.465,0.247159,0.00942274
6.495,0.246405,0.00954533
6.525,0.241422,0.00932271
6.555,0.244677,0.00935841
6.585,0.264117,0.00974792
6.615,0.260167,0.00963641
6.645,0.251825,0.00945253
6.675,0.24927,0.00935457
6.705,0.265007,0.00971786
6.735,0.256061,0.00960586
6.765,0.246642,0.00934132
6.795,0.245373,0.00927202
6.825,0.248328,0.00927039
6.855,0.256773,0.00945349
6.885,0.256226,0.00948419
6.915,0.252538,0.00981027
6.945,0.254006,0.0110441
6.975,0.251506,0.0114024
7.005,0.253082,0.0113977
7.035,0.250136,0.0111589
7.065,0.257918,0.0106053
7.095,0.258524,0.0101025
7.125,0.258768,0.0100163
7.155,0.265985,0.0100456
7.185,0.267561,0.0100192
7.215,0.267231,0.00990561
7.245,0.25214,0.00954465
7.275,0.25615,0.00968657
7.305,0.27467,0.0101141
7.335,0.262967,0.00993445
7.365,0.258428,0.00987904
7.395,0.272752,0.0101178
7.425,0.271961,0.0101111
7.455,0.279591,0.0103046
7.485,0.272409,0.0101612
7.515,0.261948,0.00991999
7.545,0.263574,0.0100552
7.575,0.273402,0.0104761
7.605,0.274043,0.0104226
7.635,0.263829,0.0101896
7.665,0.258971,0.0100753
7.695,0.270385,0.0104749
7.725,0.275675,0.010761
7.755,0.283746,0.0109794
7.785,0.289351,0.0111326
7.815,0.273541,0.0107953
7.845,0.269313,0.0107345
7.875,0.278522,0.0111577
7.905,0.272547,0.0113502
7.935,0.27241,0.0115643
7.965,0.284691,0.0130367
7.995,0.299054,0.0210364
8.025,0.287789,0.0201555
8.055,0.298289,0.022829
8.085,0.277585,0.019059
8.115,0.277544,0.020651
8.145,0.274057,0.0185985
8.175,0.276961,0.0188562
8.205,0.271894,0.0169205
8.235,0.259242,0.0161248
8.265,0.260069,0.0142833
8.295,0.26668,0.0131844
8.325,0.276654,0.0139666
8.355,0.291227,0.0157437
8.385,0.276585,0.013619
8.415,0.275011,0.0127301
8.445,0.271395,0.0130542
8.475,0.28904,0.0119905
8.505,0.288185,0.011728
8.535,0.280268,0.0116721
8.565,0.273827,0.0113831
8.595,0.273795,0.0114141
8.625,0.277994,0.0118675
8.655,0.280616,0.0117202
8.685,0.277737,0.0113335
