#,MSlice,Slice,of,workspace,"__sE150T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-5.000000000e+01,0.000000000e+00,nan,nan
-4.924812030e+01,0.000000000e+00,nan,nan
-4.849624060e+01,0.000000000e+00,nan,nan
-4.774436090e+01,0.000000000e+00,nan,nan
-4.699248120e+01,0.000000000e+00,nan,nan
-4.624060150e+01,0.000000000e+00,nan,nan
-4.548872180e+01,0.000000000e+00,nan,nan
-4.473684211e+01,0.000000000e+00,nan,nan
-4.398496241e+01,0.000000000e+00,nan,nan
-4.323308271e+01,0.000000000e+00,nan,nan
-4.248120301e+01,0.000000000e+00,nan,nan
-4.172932331e+01,0.000000000e+00,nan,nan
-4.097744361e+01,0.000000000e+00,nan,nan
-4.022556391e+01,0.000000000e+00,nan,nan
-3.947368421e+01,0.000000000e+00,nan,nan
-3.872180451e+01,0.000000000e+00,nan,nan
-3.796992481e+01,0.000000000e+00,nan,nan
-3.721804511e+01,0.000000000e+00,nan,nan
-3.646616541e+01,0.000000000e+00,nan,nan
-3.571428571e+01,0.000000000e+00,nan,nan
-3.496240602e+01,0.000000000e+00,nan,nan
-3.421052632e+01,0.000000000e+00,nan,nan
-3.345864662e+01,0.000000000e+00,nan,nan
-3.270676692e+01,0.000000000e+00,nan,nan
-3.195488722e+01,0.000000000e+00,nan,nan
-3.120300752e+01,0.000000000e+00,nan,nan
-3.045112782e+01,0.000000000e+00,nan,nan
-2.969924812e+01,0.000000000e+00,nan,nan
-2.894736842e+01,0.000000000e+00,nan,nan
-2.819548872e+01,0.000000000e+00,nan,nan
-2.744360902e+01,0.000000000e+00,nan,nan
-2.669172932e+01,0.000000000e+00,nan,nan
-2.593984962e+01,0.000000000e+00,nan,nan
-2.518796992e+01,0.000000000e+00,nan,nan
-2.443609023e+01,0.000000000e+00,nan,nan
-2.368421053e+01,0.000000000e+00,nan,nan
-2.293233083e+01,0.000000000e+00,nan,nan
-2.218045113e+01,0.000000000e+00,nan,nan
-2.142857143e+01,0.000000000e+00,nan,nan
-2.067669173e+01,0.000000000e+00,nan,nan
-1.992481203e+01,0.000000000e+00,nan,nan
-1.917293233e+01,0.000000000e+00,nan,nan
-1.842105263e+01,0.000000000e+00,nan,nan
-1.766917293e+01,0.000000000e+00,nan,nan
-1.691729323e+01,0.000000000e+00,nan,nan
-1.616541353e+01,0.000000000e+00,nan,nan
-1.541353383e+01,0.000000000e+00,nan,nan
-1.466165414e+01,0.000000000e+00,nan,nan
-1.390977444e+01,0.000000000e+00,nan,nan
-1.315789474e+01,0.000000000e+00,nan,nan
-1.240601504e+01,0.000000000e+00,nan,nan
-1.165413534e+01,0.000000000e+00,nan,nan
-1.090225564e+01,0.000000000e+00,nan,nan
-1.015037594e+01,0.000000000e+00,nan,nan
-9.398496241e+00,0.000000000e+00,nan,nan
-8.646616541e+00,0.000000000e+00,nan,nan
-7.894736842e+00,0.000000000e+00,nan,nan
-7.142857143e+00,0.000000000e+00,nan,nan
-6.390977444e+00,0.000000000e+00,nan,nan
-5.639097744e+00,0.000000000e+00,nan,nan
-4.887218045e+00,0.000000000e+00,nan,nan
-4.135338346e+00,0.000000000e+00,nan,nan
-3.383458647e+00,0.000000000e+00,nan,nan
-2.631578947e+00,0.000000000e+00,nan,nan
-1.879699248e+00,0.000000000e+00,nan,nan
-1.127819549e+00,0.000000000e+00,nan,nan
-3.759398496e-01,0.000000000e+00,nan,nan
3.759398496e-01,0.000000000e+00,nan,nan
1.127819549e+00,0.000000000e+00,nan,nan
1.879699248e+00,0.000000000e+00,nan,nan
2.631578947e+00,0.000000000e+00,nan,nan
3.383458647e+00,0.000000000e+00,nan,nan
4.135338346e+00,0.000000000e+00,nan,nan
4.887218045e+00,0.000000000e+00,nan,nan
5.639097744e+00,0.000000000e+00,nan,nan
6.390977444e+00,0.000000000e+00,nan,nan
7.142857143e+00,0.000000000e+00,nan,nan
7.894736842e+00,0.000000000e+00,nan,nan
8.646616541e+00,0.000000000e+00,nan,nan
9.398496241e+00,0.000000000e+00,nan,nan
1.015037594e+01,0.000000000e+00,nan,nan
1.090225564e+01,0.000000000e+00,nan,nan
1.165413534e+01,0.000000000e+00,nan,nan
1.240601504e+01,0.000000000e+00,nan,nan
1.315789474e+01,0.000000000e+00,nan,nan
1.390977444e+01,0.000000000e+00,nan,nan
1.466165414e+01,0.000000000e+00,nan,nan
1.541353383e+01,0.000000000e+00,nan,nan
1.616541353e+01,0.000000000e+00,nan,nan
1.691729323e+01,0.000000000e+00,nan,nan
1.766917293e+01,0.000000000e+00,nan,nan
1.842105263e+01,0.000000000e+00,nan,nan
1.917293233e+01,0.000000000e+00,nan,nan
1.992481203e+01,0.000000000e+00,nan,nan
2.067669173e+01,0.000000000e+00,nan,nan
2.142857143e+01,0.000000000e+00,nan,nan
2.218045113e+01,0.000000000e+00,nan,nan
2.293233083e+01,0.000000000e+00,nan,nan
2.368421053e+01,0.000000000e+00,nan,nan
2.443609023e+01,0.000000000e+00,nan,nan
2.518796992e+01,0.000000000e+00,nan,nan
2.593984962e+01,0.000000000e+00,nan,nan
2.669172932e+01,0.000000000e+00,nan,nan
2.744360902e+01,0.000000000e+00,nan,nan
2.819548872e+01,0.000000000e+00,nan,nan
2.894736842e+01,0.000000000e+00,nan,nan
2.969924812e+01,0.000000000e+00,nan,nan
