X,Y,E
1.4175,0.124821,0.125186
1.4525,0.0999307,0.0351553
1.4875,0.0927049,0.0384175
1.5225,0.0706797,0.0852669
1.5575,0.0815851,0.0157766
1.5925,0.105415,0.065642
1.6275,0.0952352,0.0124481
1.6625,0.108895,0.0324727
1.6975,0.10333,0.0094012
1.7325,0.09917,0.0153503
1.7675,0.0974233,0.00677745
1.8025,0.0951221,0.011082
1.8375,0.0953758,0.00588131
1.8725,0.0920159,0.00711884
1.9075,0.102918,0.185922
1.9425,0.100515,0.00738981
1.9775,0.0996953,0.0721901
2.0125,0.103582,0.006788
2.0475,0.0989157,0.0430967
2.0825,0.0951242,0.00497388
2.1175,0.097289,0.0406292
2.1525,0.0930109,0.00473354
2.1875,0.089971,0.00332671
2.2225,0.0893277,0.00300629
2.2575,0.0899362,0.00290115
2.2925,0.089771,0.00287059
2.3275,0.0885855,0.00283821
2.3625,0.090025,0.00286347
2.3975,0.0923086,0.00290875
2.4325,0.0891397,0.00285925
2.4675,0.0859359,0.00281342
2.5025,0.0864812,0.00283146
2.5375,0.0881105,0.00287358
2.5725,0.0884149,0.0028838
2.6075,0.0892357,0.00289926
2.6425,0.0885032,0.00288886
2.6775,0.086731,0.00288087
2.7125,0.0870167,0.0029301
2.7475,0.0884259,0.00300029
2.7825,0.0890087,0.00304318
2.8175,0.0904471,0.00310572
2.8525,0.0901004,0.0031325
2.8875,0.0884799,0.00313664
2.9225,0.0908051,0.00320414
2.9575,0.0945663,0.00329628
2.9925,0.0943832,0.00332053
3.0275,0.0945321,0.00335072
3.0625,0.0985376,0.00345487
3.0975,0.101357,0.00352463
3.1325,0.0993023,0.00350498
3.1675,0.100425,0.00353371
3.2025,0.103794,0.00360883
3.2375,0.102756,0.00359668
3.2725,0.100607,0.00356211
3.3075,0.102209,0.00358772
3.3425,0.104081,0.00361277
3.3775,0.103051,0.00360338
3.4125,0.106896,0.00366951
3.4475,0.109348,0.00371455
3.4825,0.106709,0.00365203
3.5175,0.105274,0.00362671
3.5525,0.111061,0.00372566
3.5875,0.114643,0.00378354
3.6225,0.112941,0.00374967
3.6575,0.10988,0.0036963
3.6925,0.111359,0.00370506
3.7275,0.115395,0.00377257
3.7625,0.116427,0.00377656
3.7975,0.116835,0.00378604
3.8325,0.116696,0.00380257
3.8675,0.11669,0.00379421
3.9025,0.119485,0.0038387
3.9375,0.123961,0.00389013
3.9725,0.125152,0.00392001
4.0075,0.12686,0.003961
4.0425,0.129628,0.0040468
4.0775,0.127594,0.00410994
4.1125,0.12402,0.00413399
4.1475,0.126428,0.00429321
4.1825,0.128609,0.00440323
4.2175,0.129395,0.00447075
4.2525,0.131148,0.00455355
4.2875,0.135059,0.0046969
4.3225,0.138415,0.00484186
4.3575,0.136581,0.00485421
4.3925,0.136574,0.00486886
4.4275,0.136239,0.00495831
4.4625,0.136677,0.00498912
4.4975,0.138694,0.00511655
4.5325,0.139607,0.0051793
4.5675,0.139623,0.00515945
4.6025,0.139954,0.00527531
4.6375,0.14099,0.00520687
4.6725,0.140858,0.00523714
4.7075,0.141469,0.00520193
4.7425,0.142299,0.00539904
4.7775,0.144674,0.00584037
4.8125,0.144728,0.00595593
4.8475,0.136802,0.00583077
4.8825,0.133378,0.00547743
4.9175,0.139347,0.00567267
4.9525,0.14279,0.00571134
4.9875,0.139023,0.0055537
5.0225,0.137475,0.00542416
5.0575,0.139385,0.00543698
5.0925,0.144627,0.00563681
5.1275,0.149327,0.00549134
5.1625,0.147317,0.00566581
5.1975,0.144776,0.00548557
5.2325,0.146877,0.00567488
5.2675,0.147347,0.00547168
5.3025,0.146158,0.00555426
5.3375,0.14529,0.00549248
5.3725,0.145895,0.0056234
5.4075,0.152242,0.00567607
5.4425,0.158783,0.00576478
5.4775,0.158038,0.00575574
5.5125,0.155551,0.00575632
5.5475,0.155007,0.00568895
5.5825,0.156269,0.00574076
5.6175,0.159858,0.00574029
5.6525,0.16037,0.00582054
5.6875,0.165651,0.00596545
5.7225,0.166807,0.00592587
5.7575,0.163754,0.00587566
5.7925,0.162543,0.00585831
5.8275,0.167847,0.00594604
5.8625,0.170282,0.00589336
5.8975,0.173271,0.00595681
5.9325,0.1714,0.00593278
5.9675,0.169896,0.00587797
6.0025,0.169015,0.00587357
6.0375,0.171843,0.00593047
6.0725,0.171353,0.00599305
6.1075,0.17315,0.00604587
6.1425,0.173423,0.00601164
6.1775,0.172219,0.00596148
6.2125,0.174969,0.0060056
6.2475,0.178859,0.00606572
6.2825,0.182616,0.00612105
6.3175,0.182034,0.00612536
6.3525,0.181793,0.00609809
6.3875,0.180371,0.00611197
6.4225,0.180124,0.00609954
6.4575,0.179095,0.00610524
6.4925,0.17328,0.00601046
6.5275,0.171516,0.00599984
6.5625,0.178737,0.00613753
6.5975,0.179113,0.00610029
6.6325,0.176821,0.00604148
6.6675,0.178978,0.0060505
6.7025,0.181527,0.00616714
6.7375,0.172594,0.00622465
6.7725,0.171995,0.00655575
6.8075,0.178339,0.00691771
6.8425,0.1782,0.00700246
6.8775,0.174583,0.0068947
6.9125,0.167747,0.00657554
6.9475,0.16379,0.00624902
6.9825,0.167562,0.00613412
7.0175,0.168427,0.00611203
7.0525,0.167128,0.00604657
7.0875,0.169455,0.00605997
7.1225,0.169652,0.00603707
7.1575,0.169131,0.00605039
7.1925,0.169276,0.00607276
7.2275,0.168713,0.00602917
7.2625,0.163207,0.0059567
7.2975,0.165092,0.00597418
7.3325,0.170288,0.0060188
7.3675,0.166193,0.0058694
7.4025,0.156359,0.00559522
7.4375,0.152084,0.00543632
7.4725,0.150423,0.00532324
7.5075,0.152606,0.00530903
7.5425,0.156912,0.00539324
7.5775,0.162962,0.0055486
7.6125,0.168312,0.00568938
