X,Y,E
0.0125,nan,0
0.0375,nan,0
0.0625,nan,0
0.0875,nan,0
0.1125,nan,0
0.1375,nan,0
0.1625,nan,0
0.1875,nan,0
0.2125,nan,0
0.2375,nan,0
0.2625,nan,0
0.2875,nan,0
0.3125,nan,0
0.3375,nan,0
0.3625,nan,0
0.3875,nan,0
0.4125,nan,0
0.4375,nan,0
0.4625,nan,0
0.4875,nan,0
0.5125,nan,0
0.5375,nan,0
0.5625,nan,0
0.5875,nan,0
0.6125,nan,0
0.6375,nan,0
0.6625,nan,0
0.6875,nan,0
0.7125,nan,0
0.7375,nan,0
0.7625,nan,0
0.7875,nan,0
0.8125,nan,0
0.8375,nan,0
0.8625,nan,0
0.8875,nan,0
0.9125,nan,0
0.9375,nan,0
0.9625,nan,0
0.9875,nan,0
1.0125,nan,0
1.0375,nan,0
1.0625,nan,0
1.0875,nan,0
1.1125,nan,0
1.1375,nan,0
1.1625,nan,0
1.1875,nan,0
1.2125,nan,0
1.2375,nan,0
1.2625,nan,0
1.2875,nan,0
1.3125,nan,0
1.3375,nan,0
1.3625,nan,0
1.3875,nan,0
1.4125,nan,0
1.4375,nan,0
1.4625,nan,0
1.4875,nan,0
1.5125,nan,0
1.5375,nan,0
1.5625,nan,0
1.5875,nan,0
1.6125,nan,0
1.6375,nan,0
1.6625,nan,0
1.6875,nan,0
1.7125,nan,0
1.7375,nan,0
1.7625,nan,0
1.7875,nan,0
1.8125,nan,0
1.8375,nan,0
1.8625,nan,0
1.8875,nan,0
1.9125,nan,0
1.9375,0.055484,0.0231965
1.9625,0.0526286,0.0858796
1.9875,0.0468574,0.00689397
2.0125,0.0488791,0.0143925
2.0375,0.0522302,0.0041183
2.0625,0.0551088,0.00558982
2.0875,0.0512342,0.0362978
2.1125,0.0545015,0.00302282
2.1375,0.0561041,0.00917468
2.1625,0.0585016,0.00235902
2.1875,0.0602937,0.00405382
2.2125,0.0597115,0.001833
2.2375,0.0589892,0.00260009
2.2625,0.0599072,0.0226913
2.2875,0.0606393,0.00199136
2.3125,0.0623687,0.00612923
2.3375,0.0644242,0.00158914
2.3625,0.0655843,0.00386035
2.3875,0.0665386,0.00145025
2.4125,0.0672617,0.00252694
2.4375,0.0668506,0.00130399
2.4625,0.0692441,0.00211427
2.4875,0.0690326,0.00125068
2.5125,0.0670497,0.00160541
2.5375,0.0674563,0.0011547
2.5625,0.0673418,0.00148409
2.5875,0.0678683,0.00113116
2.6125,0.0688622,0.00108662
2.6375,0.0699127,0.00108837
2.6625,0.0716977,0.00111019
2.6875,0.071459,0.00111969
2.7125,0.0710083,0.00112995
2.7375,0.0721601,0.00115268
2.7625,0.0728839,0.00117171
2.7875,0.0736225,0.00118853
2.8125,0.0745629,0.00120422
2.8375,0.0747659,0.00121206
2.8625,0.0752881,0.00122219
2.8875,0.0766039,0.00124258
2.9125,0.0757749,0.00124711
2.9375,0.0769601,0.00126081
2.9625,0.0793545,0.00128102
2.9875,0.08025,0.00129479
3.0125,0.0793687,0.00129512
3.0375,0.0804023,0.00130171
3.0625,0.0815461,0.00131169
3.0875,0.0796989,0.00130446
3.1125,0.0799397,0.00130983
3.1375,0.0832618,0.00134601
3.1625,0.0845337,0.00138008
3.1875,0.0850686,0.00140621
3.2125,0.0862617,0.00143709
3.2375,0.0857843,0.00145877
3.2625,0.0853016,0.00148241
3.2875,0.0854709,0.00150762
3.3125,0.0856204,0.00153997
3.3375,0.0878271,0.00158949
3.3625,0.0896497,0.00163413
3.3875,0.0891774,0.00165996
3.4125,0.0906314,0.00170392
3.4375,0.0908483,0.00173141
3.4625,0.0904164,0.00174068
3.4875,0.0910374,0.0017669
3.5125,0.0922073,0.00181672
3.5375,0.0940108,0.00187268
3.5625,0.0952058,0.00191552
3.5875,0.0936395,0.00192665
3.6125,0.0927022,0.00193804
3.6375,0.0936187,0.00196614
3.6625,0.0957388,0.00198953
3.6875,0.0969966,0.00200349
3.7125,0.098852,0.00202013
3.7375,0.0986277,0.00200358
3.7625,0.0990256,0.00199738
3.7875,0.102015,0.00202414
3.8125,0.099671,0.00200037
3.8375,0.0990493,0.00198591
3.8625,0.100549,0.00200245
3.8875,0.103383,0.00203375
3.9125,0.104281,0.00203789
3.9375,0.102765,0.00202915
3.9625,0.101141,0.00201814
3.9875,0.103381,0.00203265
4.0125,0.104625,0.00204627
4.0375,0.104703,0.00206353
4.0625,0.105585,0.00207352
4.0875,0.105617,0.00206858
4.1125,0.10728,0.00209498
4.1375,0.109365,0.00211739
4.1625,0.112287,0.00212544
4.1875,0.112212,0.0021192
4.2125,0.109688,0.00209592
4.2375,0.110242,0.00208813
4.2625,0.110502,0.0020928
4.2875,0.110512,0.00209761
4.3125,0.112276,0.00213596
4.3375,0.114974,0.00216542
4.3625,0.115386,0.0021411
4.3875,0.114279,0.00214714
4.4125,0.115421,0.00216745
4.4375,0.115425,0.00214649
4.4625,0.115246,0.00215526
4.4875,0.117788,0.00219629
4.5125,0.117581,0.00219073
4.5375,0.116458,0.00214556
4.5625,0.120643,0.00222563
4.5875,0.120917,0.00226147
4.6125,0.119187,0.00218985
4.6375,0.120016,0.00221828
4.6625,0.120235,0.00219858
4.6875,0.121877,0.00219412
4.7125,0.122398,0.0023815
4.7375,0.12404,0.00273118
4.7625,0.126885,0.00269811
4.7875,0.12936,0.0024567
