#,MSlice,Slice,of,workspace,"__sE112T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-3.000000000e+01,0.000000000e+00,nan,nan
-2.657894737e+01,0.000000000e+00,nan,nan
-2.315789474e+01,0.000000000e+00,nan,nan
-1.973684211e+01,0.000000000e+00,nan,nan
-1.631578947e+01,0.000000000e+00,nan,nan
-1.289473684e+01,0.000000000e+00,nan,nan
-9.473684211e+00,0.000000000e+00,nan,nan
-6.052631579e+00,0.000000000e+00,nan,nan
-2.631578947e+00,0.000000000e+00,nan,nan
7.894736842e-01,0.000000000e+00,nan,nan
4.210526316e+00,0.000000000e+00,nan,nan
7.631578947e+00,0.000000000e+00,nan,nan
1.105263158e+01,0.000000000e+00,nan,nan
1.447368421e+01,0.000000000e+00,nan,nan
1.789473684e+01,0.000000000e+00,nan,nan
2.131578947e+01,0.000000000e+00,nan,nan
2.473684211e+01,0.000000000e+00,nan,nan
2.815789474e+01,0.000000000e+00,nan,nan
3.157894737e+01,0.000000000e+00,nan,nan
3.500000000e+01,0.000000000e+00,nan,nan
3.842105263e+01,0.000000000e+00,nan,nan
4.184210526e+01,0.000000000e+00,nan,nan
4.526315789e+01,0.000000000e+00,nan,nan
4.868421053e+01,0.000000000e+00,nan,nan
5.210526316e+01,0.000000000e+00,nan,nan
5.552631579e+01,0.000000000e+00,nan,nan
5.894736842e+01,0.000000000e+00,nan,nan
6.236842105e+01,0.000000000e+00,nan,nan
6.578947368e+01,0.000000000e+00,nan,nan
6.921052632e+01,0.000000000e+00,nan,nan
7.263157895e+01,0.000000000e+00,nan,nan
7.605263158e+01,0.000000000e+00,nan,nan
7.947368421e+01,0.000000000e+00,nan,nan
8.289473684e+01,0.000000000e+00,nan,nan
8.631578947e+01,0.000000000e+00,nan,nan
8.973684211e+01,0.000000000e+00,nan,nan
9.315789474e+01,0.000000000e+00,nan,nan
9.657894737e+01,0.000000000e+00,nan,nan
1.000000000e+02,0.000000000e+00,nan,nan
-3.000000000e+01,6.451612903e-02,nan,nan
-2.657894737e+01,6.451612903e-02,nan,nan
-2.315789474e+01,6.451612903e-02,nan,nan
-1.973684211e+01,6.451612903e-02,nan,nan
-1.631578947e+01,6.451612903e-02,nan,nan
-1.289473684e+01,6.451612903e-02,nan,nan
-9.473684211e+00,6.451612903e-02,nan,nan
-6.052631579e+00,6.451612903e-02,nan,nan
-2.631578947e+00,6.451612903e-02,nan,nan
7.894736842e-01,6.451612903e-02,nan,nan
4.210526316e+00,6.451612903e-02,nan,nan
7.631578947e+00,6.451612903e-02,nan,nan
1.105263158e+01,6.451612903e-02,nan,nan
1.447368421e+01,6.451612903e-02,nan,nan
1.789473684e+01,6.451612903e-02,nan,nan
2.131578947e+01,6.451612903e-02,nan,nan
2.473684211e+01,6.451612903e-02,nan,nan
2.815789474e+01,6.451612903e-02,nan,nan
3.157894737e+01,6.451612903e-02,nan,nan
3.500000000e+01,6.451612903e-02,nan,nan
3.842105263e+01,6.451612903e-02,nan,nan
4.184210526e+01,6.451612903e-02,nan,nan
4.526315789e+01,6.451612903e-02,nan,nan
4.868421053e+01,6.451612903e-02,nan,nan
5.210526316e+01,6.451612903e-02,nan,nan
