#,MSlice,Slice,of,workspace,"__E112T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-3.000000000e+01,4.089100063e-01,nan,nan
-2.657894737e+01,4.089100063e-01,nan,nan
-2.315789474e+01,4.089100063e-01,nan,nan
-1.973684211e+01,4.089100063e-01,nan,nan
-1.631578947e+01,4.089100063e-01,nan,nan
-1.289473684e+01,4.089100063e-01,nan,nan
-9.473684211e+00,4.089100063e-01,nan,nan
-6.052631579e+00,4.089100063e-01,3.520658544e-01,4.443787020e-02
-2.631578947e+00,4.089100063e-01,5.857596280e-01,2.270041153e-02
7.894736842e-01,4.089100063e-01,4.101912451e-01,1.848908718e-02
4.210526316e+00,4.089100063e-01,1.251809257e-01,2.376432494e-02
7.631578947e+00,4.089100063e-01,nan,nan
1.105263158e+01,4.089100063e-01,nan,nan
1.447368421e+01,4.089100063e-01,nan,nan
1.789473684e+01,4.089100063e-01,nan,nan
2.131578947e+01,4.089100063e-01,nan,nan
2.473684211e+01,4.089100063e-01,nan,nan
2.815789474e+01,4.089100063e-01,nan,nan
3.157894737e+01,4.089100063e-01,nan,nan
3.500000000e+01,4.089100063e-01,nan,nan
3.842105263e+01,4.089100063e-01,nan,nan
4.184210526e+01,4.089100063e-01,nan,nan
4.526315789e+01,4.089100063e-01,nan,nan
4.868421053e+01,4.089100063e-01,nan,nan
5.210526316e+01,4.089100063e-01,nan,nan
5.552631579e+01,4.089100063e-01,nan,nan
5.894736842e+01,4.089100063e-01,nan,nan
6.236842105e+01,4.089100063e-01,nan,nan
6.578947368e+01,4.089100063e-01,nan,nan
6.921052632e+01,4.089100063e-01,nan,nan
7.263157895e+01,4.089100063e-01,nan,nan
7.605263158e+01,4.089100063e-01,nan,nan
7.947368421e+01,4.089100063e-01,nan,nan
8.289473684e+01,4.089100063e-01,nan,nan
8.631578947e+01,4.089100063e-01,nan,nan
8.973684211e+01,4.089100063e-01,nan,nan
9.315789474e+01,4.089100063e-01,nan,nan
9.657894737e+01,4.089100063e-01,nan,nan
1.000000000e+02,4.089100063e-01,nan,nan
-3.000000000e+01,4.734723514e-01,nan,nan
-2.657894737e+01,4.734723514e-01,nan,nan
-2.315789474e+01,4.734723514e-01,nan,nan
-1.973684211e+01,4.734723514e-01,nan,nan
-1.631578947e+01,4.734723514e-01,nan,nan
-1.289473684e+01,4.734723514e-01,nan,nan
-9.473684211e+00,4.734723514e-01,2.994849436e-02,5.654688632e-03
-6.052631579e+00,4.734723514e-01,2.369749869e-01,7.961325302e-03
-2.631578947e+00,4.734723514e-01,5.743020494e-01,1.059166816e-02
7.894736842e-01,4.734723514e-01,4.003234915e-01,8.630397187e-03
4.210526316e+00,4.734723514e-01,6.295848206e-02,3.930738645e-03
7.631578947e+00,4.734723514e-01,9.083717753e-03,3.047730347e-03
1.105263158e+01,4.734723514e-01,nan,nan
1.447368421e+01,4.734723514e-01,nan,nan
1.789473684e+01,4.734723514e-01,nan,nan
2.131578947e+01,4.734723514e-01,nan,nan
2.473684211e+01,4.734723514e-01,nan,nan
2.815789474e+01,4.734723514e-01,nan,nan
3.157894737e+01,4.734723514e-01,nan,nan
3.500000000e+01,4.734723514e-01,nan,nan
3.842105263e+01,4.734723514e-01,nan,nan
4.184210526e+01,4.734723514e-01,nan,nan
4.526315789e+01,4.734723514e-01,nan,nan
4.868421053e+01,4.734723514e-01,nan,nan
5.210526316e+01,4.734723514e-01,nan,nan
5.552631579e+01,4.734723514e-01,nan,nan
5.894736842e+01,4.734723514e-01,nan,nan
6.236842105e+01,4.734723514e-01,nan,nan
6.578947368e+01,4.734723514e-01,nan,nan
6.921052632e+01,4.734723514e-01,nan,nan
7.263157895e+01,4.734723514e-01,nan,nan
7.605263158e+01,4.734723514e-01,nan,nan
7.947368421e+01,4.734723514e-01,nan,nan
8.289473684e+01,4.734723514e-01,nan,nan
8.631578947e+01,4.734723514e-01,nan,nan
8.973684211e+01,4.734723514e-01,nan,nan
9.315789474e+01,4.734723514e-01,nan,nan
9.657894737e+01,4.734723514e-01,nan,nan
1.000000000e+02,4.734723514e-01,nan,nan
-3.000000000e+01,5.380346965e-01,nan,nan
-2.657894737e+01,5.380346965e-01,nan,nan
-2.315789474e+01,5.380346965e-01,nan,nan
-1.973684211e+01,5.380346965e-01,nan,nan
-1.631578947e+01,5.380346965e-01,nan,nan
-1.289473684e+01,5.380346965e-01,1.635169393e-03,1.140900289e-03
-9.473684211e+00,5.380346965e-01,1.853249958e-02,1.782850102e-03
-6.052631579e+00,5.380346965e-01,2.152139679e-01,4.723817570e-03
-2.631578947e+00,5.380346965e-01,5.559690217e-01,7.244359075e-03
7.894736842e-01,5.380346965e-01,3.879839717e-01,5.967387946e-03
4.210526316e+00,5.380346965e-01,5.936966771e-02,2.346581696e-03
7.631578947e+00,5.380346965e-01,8.574203631e-03,1.158666629e-03
1.105263158e+01,5.380346965e-01,4.013998456e-03,1.987596500e-03
1.447368421e+01,5.380346965e-01,nan,nan
1.789473684e+01,5.380346965e-01,nan,nan
2.131578947e+01,5.380346965e-01,nan,nan
2.473684211e+01,5.380346965e-01,nan,nan
2.815789474e+01,5.380346965e-01,nan,nan
3.157894737e+01,5.380346965e-01,nan,nan
3.500000000e+01,5.380346965e-01,nan,nan
3.842105263e+01,5.380346965e-01,nan,nan
4.184210526e+01,5.380346965e-01,nan,nan
4.526315789e+01,5.380346965e-01,nan,nan
4.868421053e+01,5.380346965e-01,nan,nan
5.210526316e+01,5.380346965e-01,nan,nan
5.552631579e+01,5.380346965e-01,nan,nan
5.894736842e+01,5.380346965e-01,nan,nan
6.236842105e+01,5.380346965e-01,nan,nan
6.578947368e+01,5.380346965e-01,nan,nan
6.921052632e+01,5.380346965e-01,nan,nan
7.263157895e+01,5.380346965e-01,nan,nan
7.605263158e+01,5.380346965e-01,nan,nan
7.947368421e+01,5.380346965e-01,nan,nan
8.289473684e+01,5.380346965e-01,nan,nan
8.631578947e+01,5.380346965e-01,nan,nan
8.973684211e+01,5.380346965e-01,nan,nan
9.315789474e+01,5.380346965e-01,nan,nan
9.657894737e+01,5.380346965e-01,nan,nan
1.000000000e+02,5.380346965e-01,nan,nan
-3.000000000e+01,6.025970416e-01,nan,nan
-2.657894737e+01,6.025970416e-01,nan,nan
-2.315789474e+01,6.025970416e-01,nan,nan
-1.973684211e+01,6.025970416e-01,nan,nan
-1.631578947e+01,6.025970416e-01,1.491080168e-03,1.171907095e-03
-1.289473684e+01,6.025970416e-01,2.215188470e-03,5.721915727e-04
-9.473684211e+00,6.025970416e-01,1.572126279e-02,1.117007751e-03
-6.052631579e+00,6.025970416e-01,2.122529511e-01,3.920169003e-03
-2.631578947e+00,6.025970416e-01,5.320147982e-01,5.926363337e-03
7.894736842e-01,6.025970416e-01,3.806873595e-01,4.904507857e-03
4.210526316e+00,6.025970416e-01,5.882764903e-02,1.983701441e-03
7.631578947e+00,6.025970416e-01,6.900053176e-03,7.244236758e-04
1.105263158e+01,6.025970416e-01,5.823194051e-03,8.604803619e-04
1.447368421e+01,6.025970416e-01,5.829608882e-03,3.405450987e-03
1.789473684e+01,6.025970416e-01,nan,nan
2.131578947e+01,6.025970416e-01,nan,nan
2.473684211e+01,6.025970416e-01,nan,nan
2.815789474e+01,6.025970416e-01,nan,nan
3.157894737e+01,6.025970416e-01,nan,nan
3.500000000e+01,6.025970416e-01,nan,nan
3.842105263e+01,6.025970416e-01,nan,nan
4.184210526e+01,6.025970416e-01,nan,nan
4.526315789e+01,6.025970416e-01,nan,nan
4.868421053e+01,6.025970416e-01,nan,nan
5.210526316e+01,6.025970416e-01,nan,nan
5.552631579e+01,6.025970416e-01,nan,nan
5.894736842e+01,6.025970416e-01,nan,nan
6.236842105e+01,6.025970416e-01,nan,nan
6.578947368e+01,6.025970416e-01,nan,nan
6.921052632e+01,6.025970416e-01,nan,nan
7.263157895e+01,6.025970416e-01,nan,nan
7.605263158e+01,6.025970416e-01,nan,nan
7.947368421e+01,6.025970416e-01,nan,nan
8.289473684e+01,6.025970416e-01,nan,nan
8.631578947e+01,6.025970416e-01,nan,nan
8.973684211e+01,6.025970416e-01,nan,nan
9.315789474e+01,6.025970416e-01,nan,nan
9.657894737e+01,6.025970416e-01,nan,nan
1.000000000e+02,6.025970416e-01,nan,nan
-3.000000000e+01,6.671593867e-01,nan,nan
-2.657894737e+01,6.671593867e-01,nan,nan
-2.315789474e+01,6.671593867e-01,nan,nan
-1.973684211e+01,6.671593867e-01,1.959472787e-03,1.794323001e-03
-1.631578947e+01,6.671593867e-01,1.233268734e-03,4.029329481e-04
-1.289473684e+01,6.671593867e-01,1.286369443e-03,3.289111129e-04
-9.473684211e+00,6.671593867e-01,1.454174448e-02,8.535354409e-04
-6.052631579e+00,6.671593867e-01,2.026403189e-01,2.968671486e-03
-2.631578947e+00,6.671593867e-01,5.207807641e-01,4.567611328e-03
7.894736842e-01,6.671593867e-01,3.638805529e-01,3.750575308e-03
4.210526316e+00,6.671593867e-01,5.810794447e-02,1.500649453e-03
7.631578947e+00,6.671593867e-01,8.475825341e-03,6.332877103e-04
1.105263158e+01,6.671593867e-01,6.828532838e-03,6.789629377e-04
1.447368421e+01,6.671593867e-01,6.321113228e-03,9.923659359e-04
1.789473684e+01,6.671593867e-01,8.882643362e-03,1.929444149e-02
2.131578947e+01,6.671593867e-01,nan,nan
2.473684211e+01,6.671593867e-01,nan,nan
2.815789474e+01,6.671593867e-01,nan,nan
3.157894737e+01,6.671593867e-01,nan,nan
3.500000000e+01,6.671593867e-01,nan,nan
3.842105263e+01,6.671593867e-01,nan,nan
4.184210526e+01,6.671593867e-01,nan,nan
4.526315789e+01,6.671593867e-01,nan,nan
4.868421053e+01,6.671593867e-01,nan,nan
5.210526316e+01,6.671593867e-01,nan,nan
5.552631579e+01,6.671593867e-01,nan,nan
5.894736842e+01,6.671593867e-01,nan,nan
6.236842105e+01,6.671593867e-01,nan,nan
6.578947368e+01,6.671593867e-01,nan,nan
6.921052632e+01,6.671593867e-01,nan,nan
7.263157895e+01,6.671593867e-01,nan,nan
7.605263158e+01,6.671593867e-01,nan,nan
7.947368421e+01,6.671593867e-01,nan,nan
8.289473684e+01,6.671593867e-01,nan,nan
8.631578947e+01,6.671593867e-01,nan,nan
8.973684211e+01,6.671593867e-01,nan,nan
9.315789474e+01,6.671593867e-01,nan,nan
9.657894737e+01,6.671593867e-01,nan,nan
1.000000000e+02,6.671593867e-01,nan,nan
-3.000000000e+01,7.317217318e-01,nan,nan
-2.657894737e+01,7.317217318e-01,nan,nan
-2.315789474e+01,7.317217318e-01,1.021747222e-03,2.777245199e-03
-1.973684211e+01,7.317217318e-01,1.209116052e-03,4.400969598e-04
-1.631578947e+01,7.317217318e-01,1.120889756e-03,2.679542564e-04
-1.289473684e+01,7.317217318e-01,1.350852492e-03,2.557714165e-04
-9.473684211e+00,7.317217318e-01,1.290900147e-02,6.643013387e-04
-6.052631579e+00,7.317217318e-01,1.987869681e-01,2.483884124e-03
-2.631578947e+00,7.317217318e-01,5.135700677e-01,4.018504194e-03
7.894736842e-01,7.317217318e-01,3.645207860e-01,3.353315940e-03
4.210526316e+00,7.317217318e-01,5.789665730e-02,1.289366222e-03
7.631578947e+00,7.317217318e-01,9.123982715e-03,5.403638501e-04
1.105263158e+01,7.317217318e-01,6.832299874e-03,5.285695289e-04
1.447368421e+01,7.317217318e-01,6.210946305e-03,6.295863111e-04
1.789473684e+01,7.317217318e-01,6.461682849e-03,1.437310588e-03
2.131578947e+01,7.317217318e-01,nan,nan
2.473684211e+01,7.317217318e-01,nan,nan
2.815789474e+01,7.317217318e-01,nan,nan
3.157894737e+01,7.317217318e-01,nan,nan
3.500000000e+01,7.317217318e-01,nan,nan
3.842105263e+01,7.317217318e-01,nan,nan
