X,Y,E
0.015,nan,0
0.045,nan,0
0.075,nan,0
0.105,nan,0
0.135,nan,0
0.165,nan,0
0.195,nan,0
0.225,nan,0
0.255,nan,0
0.285,nan,0
0.315,nan,0
0.345,nan,0
0.375,nan,0
0.405,nan,0
0.435,nan,0
0.465,nan,0
0.495,nan,0
0.525,nan,0
0.555,nan,0
0.585,nan,0
0.615,nan,0
0.645,nan,0
0.675,nan,0
0.705,nan,0
0.735,nan,0
0.765,nan,0
0.795,nan,0
0.825,nan,0
0.855,nan,0
0.885,nan,0
0.915,nan,0
0.945,nan,0
0.975,nan,0
1.005,nan,0
1.035,nan,0
1.065,nan,0
1.095,nan,0
1.125,nan,0
1.155,nan,0
1.185,nan,0
1.215,nan,0
1.245,nan,0
1.275,nan,0
1.305,nan,0
1.335,nan,0
1.365,nan,0
1.395,nan,0
1.425,nan,0
1.455,nan,0
1.485,nan,0
1.515,nan,0
1.545,nan,0
1.575,0.103783,0.131502
1.605,0.129432,2.90445
1.635,0.13489,0.0414686
1.665,0.107194,0.0533013
1.695,0.107482,0.0154038
1.725,0.114029,0.0239859
1.755,0.106493,0.0648202
1.785,0.108617,0.0103157
1.815,0.0954786,0.0168173
1.845,0.102342,0.00729579
1.875,0.104577,0.0104479
1.905,0.103192,0.0427783
1.935,0.0987166,0.00631612
1.965,0.102213,0.0127934
1.995,0.100956,0.00499318
2.025,0.0988943,0.00424342
2.055,0.0988125,0.00402827
2.085,0.102318,0.00399665
2.115,0.102736,0.0039716
2.145,0.104089,0.00399335
2.175,0.109382,0.00409939
2.205,0.10669,0.00406044
2.235,0.102734,0.00399801
2.265,0.102966,0.00401565
2.295,0.104316,0.00405434
2.325,0.101404,0.00402019
2.355,0.0984415,0.00398359
2.385,0.100733,0.00404783
2.415,0.103257,0.00413111
2.445,0.105301,0.00420197
2.475,0.108253,0.0042832
2.505,0.110186,0.00437341
2.535,0.110793,0.00445851
2.565,0.111084,0.00453067
2.595,0.113894,0.00465598
2.625,0.113139,0.00470029
2.655,0.111942,0.0047253
2.685,0.110732,0.00475584
2.715,0.109446,0.00478113
2.745,0.109771,0.00482333
2.775,0.115104,0.00498002
2.805,0.120179,0.0051214
2.835,0.117395,0.00508782
2.865,0.116321,0.00508429
2.895,0.116812,0.00512215
2.925,0.120312,0.00521323
2.955,0.123077,0.00526933
2.985,0.122334,0.00525216
3.015,0.119649,0.00519837
3.045,0.120764,0.00523594
3.075,0.121092,0.0052351
3.105,0.121865,0.00523043
3.135,0.129226,0.0053956
3.165,0.133631,0.00549292
3.195,0.133634,0.00548413
3.225,0.129859,0.00541016
3.255,0.128693,0.00538228
3.285,0.131069,0.00542091
3.315,0.129684,0.00539107
3.345,0.127884,0.00534242
3.375,0.129764,0.00539449
3.405,0.136243,0.00552369
3.435,0.140871,0.00561227
3.465,0.140345,0.00558757
3.495,0.138861,0.0055724
3.525,0.137568,0.00556201
3.555,0.140331,0.00570435
3.585,0.14559,0.00595306
3.615,0.148265,0.00615821
3.645,0.14889,0.00632387
3.675,0.151709,0.00652456
3.705,0.154084,0.00662722
3.735,0.150796,0.00665103
3.765,0.148165,0.0067226
3.795,0.152053,0.00691338
3.825,0.160891,0.00715513
3.855,0.158641,0.00720582
3.885,0.155742,0.0072291
3.915,0.154969,0.00729908
3.945,0.151649,0.00725198
3.975,0.153049,0.00729805
4.005,0.158923,0.00756569
4.035,0.165989,0.00774339
4.065,0.16893,0.00780783
4.095,0.164701,0.00763762
4.125,0.165727,0.00791744
4.155,0.168408,0.00843355
4.185,0.173126,0.0088642
4.215,0.17358,0.00875918
4.245,0.168638,0.00844081
4.275,0.163351,0.00829753
4.305,0.156142,0.00810243
4.335,0.156691,0.00796738
4.365,0.163022,0.00801223
4.395,0.171462,0.00825356
4.425,0.173039,0.00826125
4.455,0.174555,0.00815734
4.485,0.178363,0.00836471
4.515,0.174825,0.0083803
4.545,0.17707,0.00825502
4.575,0.18144,0.00846696
4.605,0.182737,0.00829502
4.635,0.186125,0.00876279
4.665,0.184112,0.00842566
4.695,0.181075,0.00854175
4.725,0.180245,0.00826118
4.755,0.181637,0.0084686
4.785,0.188005,0.00854102
4.815,0.190802,0.00862323
4.845,0.19305,0.00863405
4.875,0.197248,0.00883165
4.905,0.196603,0.00892043
4.935,0.198248,0.00895123
4.965,0.203364,0.00887302
4.995,0.208011,0.00909129
5.025,0.211379,0.00917614
5.055,0.210756,0.00892746
5.085,0.209054,0.00904349
5.115,0.206436,0.00886714
5.145,0.208321,0.00886756
5.175,0.212249,0.00901726
5.205,0.210982,0.00898233
5.235,0.217258,0.00922518
5.265,0.225417,0.00947336
5.295,0.220998,0.00934634
5.325,0.214856,0.00903285
5.355,0.218568,0.00915821
5.385,0.225455,0.00940416
5.415,0.231043,0.0094048
5.445,0.230035,0.00942069
5.475,0.225571,0.00933439
5.505,0.227314,0.00939193
5.535,0.235165,0.0095442
5.565,0.233681,0.0094652
5.595,0.229565,0.00938478
5.625,0.23512,0.00962965
5.655,0.235153,0.00953915
5.685,0.226384,0.00934886
5.715,0.222612,0.00927163
5.745,0.228087,0.00931465
5.775,0.234405,0.00951134
5.805,0.244353,0.0102399
5.835,0.249662,0.0112553
5.865,0.250537,0.0118209
5.895,0.239417,0.0112585
5.925,0.235118,0.0105764
5.955,0.24326,0.0102898
5.985,0.248494,0.0102442
6.015,0.250707,0.0101362
6.045,0.249687,0.0100648
6.075,0.245891,0.00996012
6.105,0.249095,0.0100009
6.135,0.257581,0.0101756
6.165,0.257669,0.010197
6.195,0.251564,0.0100917
6.225,0.245735,0.00993826
6.255,0.248134,0.00996434
6.285,0.250801,0.0100282
6.315,0.24915,0.00984878
6.345,0.245564,0.00965535
6.375,0.237929,0.00923063
6.405,0.229322,0.00884846
6.435,0.224713,0.00869833
6.465,0.226988,0.00878769
6.495,0.236185,0.00918417
6.525,0.248101,0.00960964
6.555,0.246408,0.00963544
6.585,0.251685,0.00983169
6.615,0.264789,0.0101367
6.645,0.275551,0.0103174
6.675,0.275301,0.0103131
6.705,0.259095,0.00995625
6.735,0.254909,0.0099107
6.765,0.263799,0.0101608
6.795,0.268785,0.0103137
6.825,0.277266,0.0104746
6.855,0.279366,0.0104985
6.885,0.281,0.0105133
6.915,0.27837,0.0104071
6.945,0.270908,0.0102468
6.975,0.276865,0.010318
7.005,0.280039,0.0103845
7.035,0.282124,0.0104272
7.065,0.287132,0.0105225
7.095,0.293373,0.0106579
7.125,0.295492,0.0106872
7.155,0.28454,0.0104903
7.185,0.282429,0.010449
7.215,0.29316,0.0105563
7.245,0.293622,0.0105058
7.275,0.285199,0.0103466
7.305,0.285745,0.0103927
7.335,0.292417,0.0106208
7.365,0.291251,0.0111176
7.395,0.287588,0.0118462
7.425,0.29504,0.0124559
7.455,0.304984,0.0128952
7.485,0.308272,0.0131212
7.515,0.301041,0.0127717
7.545,0.296911,0.0120362
7.575,0.301543,0.0115197
7.605,0.301621,0.0112631
7.635,0.297997,0.0111635
7.665,0.303236,0.0111769
7.695,0.30542,0.0110596
7.725,0.298622,0.0108391
7.755,0.310969,0.0110665
7.785,0.318455,0.011191
7.815,0.309008,0.0109716
7.845,0.303553,0.0108479
7.875,0.305786,0.010891
7.905,0.308001,0.0109605
7.935,0.311439,0.0110621
7.965,0.315376,0.0111196
7.995,0.31626,0.0112304
8.025,0.313039,0.0111966
8.055,0.315818,0.01114
8.085,0.321302,0.0112453
