X,Y,E
0.0125,nan,0
0.0375,nan,0
0.0625,nan,0
0.0875,nan,0
0.1125,nan,0
0.1375,nan,0
0.1625,nan,0
0.1875,nan,0
0.2125,nan,0
0.2375,nan,0
0.2625,nan,0
0.2875,nan,0
0.3125,nan,0
0.3375,nan,0
0.3625,nan,0
0.3875,nan,0
0.4125,0.0267769,0.137142
0.4375,0.0265825,0.0936377
0.4625,0.0170977,0.0369331
0.4875,0.0291203,0.0243704
0.5125,0.0329514,0.015741
0.5375,0.0260252,0.136708
0.5625,0.0272808,0.0657046
0.5875,0.0285184,0.043892
0.6125,0.0326411,0.0440087
0.6375,0.0325997,0.0457203
0.6625,0.0302501,0.116285
0.6875,0.0349029,0.00629267
0.7125,0.0360852,0.00466694
0.7375,0.0350305,0.00397474
0.7625,0.0359132,0.00363201
0.7875,0.0380243,0.00337765
0.8125,0.0403548,0.00324012
0.8375,0.0412137,0.00314702
0.8625,0.0409629,0.00306463
0.8875,0.040611,0.00299852
0.9125,0.0420325,0.00296567
0.9375,0.044894,0.00293008
0.9625,0.0462151,0.00291402
0.9875,0.0455645,0.00285172
1.0125,0.0449921,0.00280178
1.0375,0.0467341,0.00277611
1.0625,0.0481625,0.00275765
1.0875,0.0491635,0.00272721
1.1125,0.0512206,0.00274135
1.1375,0.0522497,0.00271385
1.1625,0.0514061,0.00268206
1.1875,0.0523277,0.0026678
1.2125,0.055035,0.00268413
1.2375,0.0556822,0.00264048
1.2625,0.0554553,0.00262906
1.2875,0.0571121,0.00264626
1.3125,0.0588739,0.00265428
1.3375,0.0590725,0.00263563
1.3625,0.0595428,0.00264737
1.3875,0.0602055,0.0026901
1.4125,0.0617879,0.00274218
1.4375,0.0615019,0.00271877
1.4625,0.0618492,0.00271929
1.4875,0.0619353,0.0027199
1.5125,0.0632896,0.00274821
1.5375,0.0636584,0.00275653
1.5625,0.0628618,0.00271388
1.5875,0.0632715,0.00272676
1.6125,0.0659848,0.00276757
1.6375,0.0666504,0.00281187
1.6625,0.0656609,0.00274709
1.6875,0.0670906,0.00274634
1.7125,0.0673657,0.00273411
1.7375,0.0671666,0.00276988
1.7625,0.0691462,0.00285663
1.7875,0.0736957,0.00299666
1.8125,0.0766565,0.0030936
1.8375,0.0773455,0.0031329
1.8625,0.0782462,0.00312487
1.8875,0.0776753,0.00311231
1.9125,0.077747,0.00311494
1.9375,0.0780939,0.00318852
1.9625,0.0795949,0.00320418
1.9875,0.0796744,0.00315277
2.0125,0.0808531,0.00321999
2.0375,0.0808557,0.00325241
2.0625,0.0834378,0.00332884
2.0875,0.0864122,0.00330458
2.1125,0.0871113,0.00335897
2.1375,0.0860426,0.0033761
2.1625,0.085896,0.00342422
2.1875,0.0877125,0.0033953
2.2125,0.0885502,0.00346439
2.2375,0.0902233,0.00346597
2.2625,0.090908,0.0035527
2.2875,0.0901167,0.00346043
2.3125,0.0891074,0.00352484
2.3375,0.0906639,0.00358045
2.3625,0.0951727,0.00369997
2.3875,0.0971812,0.00369383
2.4125,0.0985101,0.00377486
2.4375,0.0992639,0.00375302
2.4625,0.0978685,0.00382116
2.4875,0.0978502,0.00386958
2.5125,0.0991384,0.00395053
2.5375,0.100378,0.00395032
2.5625,0.0992315,0.00400615
2.5875,0.0988567,0.00407207
2.6125,0.100215,0.00412847
2.6375,0.102972,0.00408914
2.6625,0.106293,0.0040751
2.6875,0.108694,0.00405643
2.7125,0.112411,0.00409279
2.7375,0.116645,0.00412034
2.7625,0.118908,0.00413637
2.7875,0.121496,0.00412163
2.8125,0.124526,0.00416652
2.8375,0.127577,0.00423933
2.8625,0.129781,0.00432158
2.8875,0.130833,0.00442039
2.9125,0.132673,0.00453777
2.9375,0.132694,0.00460693
2.9625,0.132069,0.004664
2.9875,0.132763,0.00472513
3.0125,0.136168,0.00479047
3.0375,0.136469,0.00481161
3.0625,0.136649,0.00488497
3.0875,0.138724,0.00498511
3.1125,0.142542,0.00501177
3.1375,0.14543,0.0050163
3.1625,0.14789,0.0050721
3.1875,0.147241,0.00510589
3.2125,0.146552,0.00511412
3.2375,0.144788,0.00511723
3.2625,0.144457,0.00512033
3.2875,0.146692,0.00516878
3.3125,0.153712,0.00528249
3.3375,0.154616,0.00533096
3.3625,0.152224,0.00533633
3.3875,0.152422,0.00543149
3.4125,0.151335,0.00559087
3.4375,0.150307,0.00579965
3.4625,0.152141,0.00600748
3.4875,0.159317,0.00612804
3.5125,0.163072,0.00604
3.5375,0.165447,0.00590998
3.5625,0.168667,0.00583945
3.5875,0.174325,0.00587425
3.6125,0.175523,0.00581977
3.6375,0.174756,0.00572741
3.6625,0.173739,0.00562578
3.6875,0.176308,0.00563054
3.7125,0.177068,0.00561118
3.7375,0.178591,0.00559787
3.7625,0.178133,0.00558664
3.7875,0.183041,0.0056648
3.8125,0.18787,0.00569342
3.8375,0.190924,0.0057065
3.8625,0.190412,0.00568555
3.8875,0.192834,0.00571881
3.9125,0.195902,0.00576106
3.9375,0.19374,0.00576408
3.9625,0.193971,0.00577325
3.9875,0.193008,0.00575198
4.0125,0.191226,0.00573842
4.0375,0.187183,0.00570524
4.0625,0.191467,0.00580309
4.0875,0.194647,0.00585113
4.1125,0.201707,0.00592161
4.1375,0.201823,0.00596243
4.1625,0.202796,0.00602438
4.1875,0.205382,0.00604185
4.2125,0.209742,0.00611201
