#,MSlice,Slice,of,workspace,"__sE76T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-5.352941176e+00,3.716814159e-01,3.090494904e-02,5.424741083e-03
-3.745098039e+00,3.716814159e-01,1.273805745e-01,5.836193160e-03
-2.137254902e+00,3.716814159e-01,2.756354831e-01,7.035504131e-03
-5.294117647e-01,3.716814159e-01,3.692213370e-01,7.846912993e-03
1.078431373e+00,3.716814159e-01,2.625887649e-01,6.756053893e-03
2.686274510e+00,3.716814159e-01,9.056802297e-02,4.639378953e-03
4.294117647e+00,3.716814159e-01,1.622286346e-02,3.708658177e-03
5.901960784e+00,3.716814159e-01,nan,nan
7.509803922e+00,3.716814159e-01,nan,nan
9.117647059e+00,3.716814159e-01,nan,nan
1.072549020e+01,3.716814159e-01,nan,nan
1.233333333e+01,3.716814159e-01,nan,nan
1.394117647e+01,3.716814159e-01,nan,nan
1.554901961e+01,3.716814159e-01,nan,nan
1.715686275e+01,3.716814159e-01,nan,nan
1.876470588e+01,3.716814159e-01,nan,nan
2.037254902e+01,3.716814159e-01,nan,nan
2.198039216e+01,3.716814159e-01,nan,nan
2.358823529e+01,3.716814159e-01,nan,nan
2.519607843e+01,3.716814159e-01,nan,nan
2.680392157e+01,3.716814159e-01,nan,nan
2.841176471e+01,3.716814159e-01,nan,nan
3.001960784e+01,3.716814159e-01,nan,nan
3.162745098e+01,3.716814159e-01,nan,nan
3.323529412e+01,3.716814159e-01,nan,nan
3.484313725e+01,3.716814159e-01,nan,nan
3.645098039e+01,3.716814159e-01,nan,nan
3.805882353e+01,3.716814159e-01,nan,nan
3.966666667e+01,3.716814159e-01,nan,nan
4.127450980e+01,3.716814159e-01,nan,nan
4.288235294e+01,3.716814159e-01,nan,nan
4.449019608e+01,3.716814159e-01,nan,nan
4.609803922e+01,3.716814159e-01,nan,nan
4.770588235e+01,3.716814159e-01,nan,nan
4.931372549e+01,3.716814159e-01,nan,nan
5.092156863e+01,3.716814159e-01,nan,nan
5.252941176e+01,3.716814159e-01,nan,nan
5.413725490e+01,3.716814159e-01,nan,nan
5.574509804e+01,3.716814159e-01,nan,nan
5.735294118e+01,3.716814159e-01,nan,nan
5.896078431e+01,3.716814159e-01,nan,nan
6.056862745e+01,3.716814159e-01,nan,nan
6.217647059e+01,3.716814159e-01,nan,nan
6.378431373e+01,3.716814159e-01,nan,nan
6.539215686e+01,3.716814159e-01,nan,nan
6.700000000e+01,3.716814159e-01,nan,nan
-1.500000000e+01,4.247787611e-01,nan,nan
-1.339215686e+01,4.247787611e-01,nan,nan
-1.178431373e+01,4.247787611e-01,nan,nan
-1.017647059e+01,4.247787611e-01,nan,nan
-8.568627451e+00,4.247787611e-01,8.745856870e-04,1.839838033e-03
-6.960784314e+00,4.247787611e-01,1.952041092e-03,7.382961502e-04
-5.352941176e+00,4.247787611e-01,2.456391857e-02,1.745490960e-03
-3.745098039e+00,4.247787611e-01,1.230397582e-01,3.292922530e-03
-2.137254902e+00,4.247787611e-01,2.918896801e-01,4.588160508e-03
-5.294117647e-01,4.247787611e-01,3.822606069e-01,5.177804212e-03
1.078431373e+00,4.247787611e-01,2.635601136e-01,4.294156698e-03
2.686274510e+00,4.247787611e-01,8.347973145e-02,2.545835884e-03
4.294117647e+00,4.247787611e-01,1.237742856e-02,1.169245230e-03
5.901960784e+00,4.247787611e-01,3.762761920e-03,9.834771748e-04
7.509803922e+00,4.247787611e-01,2.401484575e-03,4.263723274e-03
9.117647059e+00,4.247787611e-01,nan,nan
1.072549020e+01,4.247787611e-01,nan,nan
1.233333333e+01,4.247787611e-01,nan,nan
1.394117647e+01,4.247787611e-01,nan,nan
