X,Y,E
0.015,nan,0
0.045,nan,0
0.075,nan,0
0.105,nan,0
0.135,nan,0
0.165,nan,0
0.195,nan,0
0.225,nan,0
0.255,nan,0
0.285,nan,0
0.315,nan,0
0.345,nan,0
0.375,nan,0
0.405,nan,0
0.435,nan,0
0.465,nan,0
0.495,nan,0
0.525,nan,0
0.555,nan,0
0.585,nan,0
0.615,nan,0
0.645,nan,0
0.675,nan,0
0.705,nan,0
0.735,nan,0
0.765,nan,0
0.795,nan,0
0.825,nan,0
0.855,nan,0
0.885,nan,0
0.915,nan,0
0.945,nan,0
0.975,nan,0
1.005,nan,0
1.035,nan,0
1.065,nan,0
1.095,nan,0
1.125,nan,0
1.155,nan,0
1.185,nan,0
1.215,nan,0
1.245,nan,0
1.275,nan,0
1.305,nan,0
1.335,nan,0
1.365,nan,0
1.395,nan,0
1.425,nan,0
1.455,nan,0
1.485,nan,0
1.515,nan,0
1.545,nan,0
1.575,nan,0
1.605,nan,0
1.635,nan,0
1.665,nan,0
1.695,nan,0
1.725,nan,0
1.755,nan,0
1.785,nan,0
1.815,nan,0
1.845,nan,0
1.875,nan,0
1.905,nan,0
1.935,nan,0
1.965,nan,0
1.995,nan,0
2.025,nan,0
2.055,nan,0
2.085,nan,0
2.115,nan,0
2.145,nan,0
2.175,nan,0
2.205,nan,0
2.235,nan,0
2.265,nan,0
2.295,nan,0
2.325,nan,0
2.355,nan,0
2.385,nan,0
2.415,nan,0
2.445,nan,0
2.475,nan,0
2.505,nan,0
2.535,nan,0
2.565,nan,0
2.595,nan,0
2.625,nan,0
2.655,nan,0
2.685,nan,0
2.715,nan,0
2.745,nan,0
2.775,nan,0
2.805,nan,0
2.835,nan,0
2.865,nan,0
2.895,nan,0
2.925,nan,0
2.955,nan,0
2.985,nan,0
3.015,nan,0
3.045,nan,0
3.075,nan,0
3.105,nan,0
3.135,0.0629996,0.0333351
3.165,0.0536726,0.0146535
3.195,0.0462893,0.0178257
3.225,0.0462377,0.00740528
3.255,0.054227,0.0239188
3.285,0.0490651,0.00646265
3.315,0.0359578,0.0084118
3.345,0.0430427,0.00445982
3.375,0.0453675,0.0034569
3.405,0.0539907,0.00864878
3.435,0.0504981,0.00416155
3.465,0.0519915,0.012377
3.495,0.0530698,0.00408502
3.525,0.0532306,0.107007
3.555,0.0567405,0.00422403
3.585,0.0564442,0.00305719
3.615,0.0557237,0.0067563
3.645,0.0588966,0.00321374
3.675,0.0656418,0.15339
3.705,0.0624804,0.00427429
3.735,0.0650516,0.00301877
3.765,0.0700178,0.00969716
3.795,0.0680274,0.00329217
3.825,0.0687783,0.00280754
3.855,0.0722407,0.00464711
3.885,0.0716673,0.00290304
3.915,0.0795889,0.0450612
3.945,0.0757248,0.00365298
3.975,0.0741415,0.00279083
4.005,0.0851279,0.0131933
4.035,0.0783408,0.00335641
4.065,0.0759242,0.00277259
4.095,0.0902729,0.00966172
4.125,0.0823778,0.00334527
4.155,0.0822915,0.00284384
4.185,0.0937569,0.00769636
4.215,0.0884663,0.0032739
4.245,0.0862477,0.00284909
4.275,0.0956338,0.00670496
4.305,0.0904587,0.00313037
4.335,0.089518,0.00283114
4.365,0.105202,0.00897171
4.395,0.0976759,0.00338678
4.425,0.0939488,0.00291159
4.455,0.111026,0.0131898
4.485,0.105006,0.00351154
4.515,0.102193,0.00302238
4.545,0.104223,0.0030156
4.575,0.105462,0.00302189
4.605,0.103918,0.00305534
4.635,0.104026,0.00312556
4.665,0.105586,0.00323937
4.695,0.103886,0.00326274
4.725,0.104082,0.00330386
4.755,0.105421,0.00338804
4.785,0.106454,0.00345469
4.815,0.106851,0.00349382
4.845,0.10573,0.00351441
4.875,0.105166,0.00356114
4.905,0.105746,0.00361032
4.935,0.105394,0.00363138
4.965,0.103043,0.00362285
4.995,0.101709,0.00364714
5.025,0.10105,0.00366473
5.055,0.100647,0.00370968
5.085,0.101318,0.00377126
5.115,0.10522,0.00388098
5.145,0.108922,0.0039922
5.175,0.109429,0.00402587
5.205,0.108579,0.00402839
5.235,0.10796,0.00403844
5.265,0.105466,0.00400795
5.295,0.10833,0.00406453
5.325,0.110578,0.00410554
5.355,0.113469,0.00416606
5.385,0.110601,0.00410191
5.415,0.11027,0.0041111
5.445,0.113971,0.0041974
5.475,0.113773,0.00419118
5.505,0.114323,0.00421556
5.535,0.119977,0.00434341
5.565,0.116956,0.00429932
5.595,0.114692,0.00424877
5.625,0.112979,0.00421006
5.655,0.111418,0.00418248
5.685,0.120723,0.00438596
5.715,0.121309,0.00440014
5.745,0.117663,0.00437231
5.775,0.11609,0.004509
5.805,0.118832,0.00468731
5.835,0.114945,0.00464667
5.865,0.114641,0.00463334
5.895,0.119071,0.00465869
5.925,0.118989,0.00461506
5.955,0.118852,0.00465285
5.985,0.118078,0.00466664
6.015,0.121739,0.00476048
6.045,0.121711,0.00468573
6.075,0.121327,0.00464652
6.105,0.114878,0.00447139
6.135,0.114456,0.00444965
6.165,0.118447,0.00446587
6.195,0.11603,0.00433636
6.225,0.104226,0.00400129
6.255,0.101637,0.00396173
6.285,0.109898,0.00415818
6.315,0.119214,0.00446662
6.345,0.119619,0.00448105
6.375,0.114255,0.00448117
6.405,0.118532,0.00452296
6.435,0.116947,0.00447842
6.465,0.121761,0.00466281
6.495,0.1266,0.00479881
6.525,0.123836,0.0046616
6.555,0.126985,0.00472056
6.585,0.129587,0.00476111
6.615,0.127792,0.00473237
6.645,0.122005,0.00459086
6.675,0.125373,0.00466386
6.705,0.130066,0.00476263
6.735,0.133704,0.0048081
6.765,0.128605,0.00469935
6.795,0.128128,0.00468286
6.825,0.132559,0.00487051
6.855,0.123343,0.00503869
6.885,0.120025,0.0053115
6.915,0.131859,0.00557982
6.945,0.129545,0.00543655
6.975,0.116483,0.00500667
7.005,0.123267,0.00515611
7.035,0.133254,0.00523027
7.065,0.127516,0.00493486
7.095,0.127726,0.00487595
7.125,0.1288,0.00488173
7.155,0.128478,0.00485897
7.185,0.130617,0.00490108
7.215,0.12433,0.00475095
7.245,0.130508,0.00487794
7.275,0.138385,0.00505921
7.305,0.135577,0.00506888
7.335,0.135416,0.0050602
7.365,0.136396,0.00509196
7.395,0.13894,0.00518211
7.425,0.136998,0.00516433
7.455,0.134538,0.00515709
7.485,0.139493,0.005301
7.515,0.144374,0.00540555
7.545,0.146217,0.00546141
7.575,0.143094,0.00543311
7.605,0.139449,0.00549785
7.635,0.134123,0.00542692
7.665,0.132323,0.00552931
7.695,0.125869,0.00546026
7.725,0.126773,0.00548091
7.755,0.126057,0.00564412
7.785,0.130769,0.00749685
7.815,0.140547,0.00899677
7.845,0.129077,0.00827089
7.875,0.125606,0.0066108
7.905,0.134416,0.00845638
7.935,0.136636,0.00756324
7.965,0.140455,0.00881154
7.995,0.136868,0.00879079
8.025,0.134482,0.00731649
8.055,0.142686,0.00900833
8.085,0.133517,0.00687539
8.115,0.133911,0.00592469
8.145,0.141957,0.00707082
8.175,0.141147,0.00806307
8.205,0.13683,0.00679642
8.235,0.14164,0.00660381
8.265,0.143057,0.00693275
8.295,0.141977,0.00715827
8.325,0.135622,0.00652062
8.355,0.137556,0.00554834
8.385,0.138128,0.0054384
8.415,0.136671,0.00529107
8.445,0.137442,0.00538578
8.475,0.135243,0.00545156
8.505,0.137646,0.00552207
8.535,0.142841,0.00565509
8.565,0.142661,0.00550226
8.595,0.14502,0.00556597
8.625,0.144821,0.00541417
