X,Y,E
0.0125,nan,0
0.0375,nan,0
0.0625,nan,0
0.0875,nan,0
0.1125,nan,0
0.1375,nan,0
0.1625,nan,0
0.1875,nan,0
0.2125,nan,0
0.2375,nan,0
0.2625,nan,0
0.2875,nan,0
0.3125,nan,0
0.3375,nan,0
0.3625,nan,0
0.3875,nan,0
0.4125,nan,0
0.4375,nan,0
0.4625,nan,0
0.4875,nan,0
0.5125,nan,0
0.5375,nan,0
0.5625,nan,0
0.5875,nan,0
0.6125,nan,0
0.6375,nan,0
0.6625,nan,0
0.6875,nan,0
0.7125,nan,0
0.7375,nan,0
0.7625,nan,0
0.7875,nan,0
0.8125,nan,0
0.8375,nan,0
0.8625,nan,0
0.8875,nan,0
0.9125,nan,0
0.9375,0.0222466,0.0734583
0.9625,0.0258163,0.064068
0.9875,0.014314,0.104561
1.0125,0.015518,0.0120068
1.0375,0.0250947,0.0132148
1.0625,0.0256489,0.0150059
1.0875,0.0199002,0.0194414
1.1125,0.0233205,0.417449
1.1375,0.0206016,0.00543688
1.1625,0.0234334,0.00706508
1.1875,0.0255517,0.0106906
1.2125,0.02786,0.247234
1.2375,0.0273418,0.00388184
1.2625,0.0251522,0.00380179
1.2875,0.0261864,0.0117163
1.3125,0.0271365,0.00289271
1.3375,0.0276832,0.00345981
1.3625,0.0273903,0.00494625
1.3875,0.0263551,0.0251408
1.4125,0.0262477,0.00225786
1.4375,0.0269125,0.00355268
1.4625,0.027635,0.0100662
1.4875,0.029573,0.00210536
1.5125,0.0304204,0.00280031
1.5375,0.0338292,0.00840683
1.5625,0.0314827,0.00187236
1.5875,0.0313454,0.00234138
1.6125,0.0302643,0.00416505
1.6375,0.0300736,0.00162155
1.6625,0.0293735,0.00184673
1.6875,0.0314979,0.00575237
1.7125,0.0323596,0.00161704
1.7375,0.0318804,0.00189515
1.7625,0.0306301,0.00532529
1.7875,0.0315541,0.00150503
1.8125,0.0305273,0.00206348
1.8375,0.0305438,0.0637219
1.8625,0.0332163,0.00147447
1.8875,0.0334775,0.00286703
1.9125,0.0339216,0.00137929
1.9375,0.0337477,0.00158871
1.9625,0.033722,0.00131285
1.9875,0.0341567,0.00129036
2.0125,0.0333798,0.00127934
2.0375,0.0345822,0.00130074
2.0625,0.0357862,0.00132055
2.0875,0.0358102,0.0013328
2.1125,0.0365976,0.00134938
2.1375,0.037899,0.00136738
2.1625,0.0382005,0.00137978
2.1875,0.0376326,0.00138729
2.2125,0.0380783,0.00140468
2.2375,0.0387753,0.00141087
2.2625,0.0386852,0.00141093
2.2875,0.0397982,0.00142207
2.3125,0.0405876,0.0014362
2.3375,0.0406696,0.00144158
2.3625,0.0415695,0.00144714
2.3875,0.0429805,0.00146387
2.4125,0.0443571,0.00148045
2.4375,0.0447445,0.00148441
2.4625,0.0429644,0.00146424
2.4875,0.0433859,0.00146905
2.5125,0.0458328,0.00148863
2.5375,0.0465861,0.00149926
2.5625,0.0459944,0.00149171
2.5875,0.0464841,0.00149918
2.6125,0.0463084,0.00149639
2.6375,0.0465976,0.00150265
2.6625,0.0472923,0.00150566
2.6875,0.0478647,0.0015069
2.7125,0.048869,0.00152808
2.7375,0.0494295,0.00153905
2.7625,0.0507426,0.00155313
2.7875,0.0520876,0.00156474
2.8125,0.0531313,0.00157408
2.8375,0.0528625,0.0015827
2.8625,0.0522803,0.00159756
2.8875,0.053528,0.00162569
2.9125,0.0550438,0.00167087
2.9375,0.0561474,0.0017085
2.9625,0.0568397,0.00173913
2.9875,0.0573727,0.00177766
3.0125,0.0576261,0.00178492
3.0375,0.0588728,0.00183555
3.0625,0.0597027,0.00188501
3.0875,0.0618296,0.00192495
3.1125,0.0616248,0.00195099
3.1375,0.0608181,0.00197394
3.1625,0.0600222,0.00198521
3.1875,0.0608875,0.00203634
3.2125,0.0624948,0.00205759
3.2375,0.0625799,0.00209787
3.2625,0.0615841,0.00208879
3.2875,0.062511,0.00211633
3.3125,0.0649921,0.0021679
3.3375,0.066514,0.00214749
3.3625,0.0667567,0.00220818
3.3875,0.0659908,0.00224711
3.4125,0.0661927,0.00236914
3.4375,0.0677041,0.00243009
3.4625,0.0668184,0.0023827
3.4875,0.0663845,0.00237989
3.5125,0.0694662,0.00240043
3.5375,0.0738222,0.00245738
3.5625,0.0741606,0.00239512
3.5875,0.0720215,0.00238822
3.6125,0.0715022,0.00236268
3.6375,0.0725769,0.00238159
3.6625,0.0748159,0.00236673
3.6875,0.0762111,0.00240284
3.7125,0.0758687,0.00240216
3.7375,0.0750093,0.00238791
3.7625,0.0757812,0.00241315
3.7875,0.0774172,0.00240598
3.8125,0.0779249,0.00246485
3.8375,0.0776062,0.00244101
3.8625,0.077162,0.0024279
3.8875,0.077952,0.00243938
3.9125,0.0811881,0.00247809
3.9375,0.0791264,0.00248372
3.9625,0.0771872,0.00242432
3.9875,0.0794297,0.00246903
4.0125,0.0816208,0.00249373
4.0375,0.0828393,0.00253546
4.0625,0.0836614,0.00254478
4.0875,0.0852971,0.00252907
4.1125,0.0858663,0.00255043
4.1375,0.0844301,0.00253058
4.1625,0.0837607,0.00249937
4.1875,0.0853678,0.00252413
4.2125,0.0864437,0.0025185
4.2375,0.0872393,0.00253704
4.2625,0.0881065,0.00254921
4.2875,0.0882581,0.00254349
4.3125,0.0877988,0.00256425
4.3375,0.09066,0.00260135
