X,Y,E
0.015,nan,0
0.045,nan,0
0.075,nan,0
0.105,nan,0
0.135,nan,0
0.165,nan,0
0.195,nan,0
0.225,nan,0
0.255,nan,0
0.285,nan,0
0.315,nan,0
0.345,nan,0
0.375,nan,0
0.405,nan,0
0.435,nan,0
0.465,nan,0
0.495,nan,0
0.525,nan,0
0.555,nan,0
0.585,nan,0
0.615,nan,0
0.645,nan,0
0.675,nan,0
0.705,nan,0
0.735,nan,0
0.765,nan,0
0.795,nan,0
0.825,nan,0
0.855,nan,0
0.885,nan,0
0.915,nan,0
0.945,nan,0
0.975,nan,0
1.005,nan,0
1.035,nan,0
1.065,nan,0
1.095,nan,0
1.125,nan,0
1.155,nan,0
1.185,nan,0
1.215,nan,0
1.245,nan,0
1.275,nan,0
1.305,nan,0
1.335,nan,0
1.365,nan,0
1.395,nan,0
1.425,nan,0
1.455,nan,0
1.485,nan,0
1.515,nan,0
1.545,nan,0
1.575,nan,0
1.605,nan,0
1.635,nan,0
1.665,0.0877262,0.150718
1.695,0.0675124,0.0284717
1.725,0.0455661,0.0168169
1.755,0.0400345,0.0499158
1.785,0.0642523,0.0156709
1.815,0.0649226,0.0275445
1.845,0.0603677,0.00886956
1.875,0.0597242,0.0113098
1.905,0.0500206,0.0279252
1.935,0.0534643,0.0053003
1.965,0.0539416,0.00940199
1.995,0.0563744,0.00442617
2.025,0.0561277,0.0069485
2.055,0.0524778,0.0198544
2.085,0.0656138,0.00666404
2.115,0.0616103,0.0119739
2.145,0.0636113,0.00404199
2.175,0.0639101,0.0073339
2.205,0.0655589,0.00340497
2.235,0.0667685,0.00526319
2.265,0.0648219,0.00308182
2.295,0.0673291,0.00449028
2.325,0.0716203,0.0410245
2.355,0.0651582,0.00335066
2.385,0.0621536,0.00914662
2.415,0.0632837,0.00265969
2.445,0.0634063,0.00714422
2.475,0.0626177,0.00266965
2.505,0.061671,0.00555986
2.535,0.0598989,0.0024484
2.565,0.0600276,0.0040966
2.595,0.0602771,0.00233501
2.625,0.0593906,0.00220365
2.655,0.0592455,0.00217826
2.685,0.0608431,0.00223142
2.715,0.0625901,0.00228946
2.745,0.061864,0.0022989
2.775,0.0622517,0.00232503
2.805,0.0626458,0.00235783
2.835,0.0628258,0.00239689
2.865,0.0628547,0.0024328
2.895,0.0624556,0.00244715
2.925,0.0630339,0.00247738
2.955,0.0625702,0.00248525
2.985,0.0634641,0.00251699
3.015,0.0661494,0.00258389
3.045,0.0654857,0.00258982
3.075,0.0665269,0.00262941
3.105,0.0692112,0.00269646
3.135,0.0689317,0.00269695
3.165,0.0697855,0.00271855
3.195,0.0721509,0.00277583
3.225,0.0708591,0.0027554
3.255,0.0705558,0.00275114
3.285,0.0716965,0.00277831
3.315,0.0739388,0.00282328
3.345,0.0739253,0.00282145
3.375,0.0715123,0.00277124
3.405,0.0735853,0.00280917
3.435,0.0749128,0.002833
3.465,0.0761849,0.00285881
3.495,0.0759165,0.00285941
3.525,0.0748249,0.0028366
3.555,0.076206,0.00287682
3.585,0.0795437,0.00295908
3.615,0.0808386,0.00301041
3.645,0.0807021,0.0030582
3.675,0.0813796,0.00313301
3.705,0.0828651,0.00321863
3.735,0.0829466,0.0032749
3.765,0.0822905,0.00333666
3.795,0.0824728,0.0033837
3.825,0.0836938,0.00345404
3.855,0.0862661,0.00358639
3.885,0.0868199,0.00364837
3.915,0.0890705,0.00374405
3.945,0.0901505,0.00380757
3.975,0.0878494,0.00381897
4.005,0.0893472,0.00388403
4.035,0.091231,0.00394259
4.065,0.0910135,0.00394723
4.095,0.0925131,0.0039949
4.125,0.0953162,0.00409423
4.155,0.0966464,0.00421726
4.185,0.0925124,0.00427037
4.215,0.0948082,0.00444112
4.245,0.0967232,0.0045053
4.275,0.0937777,0.00444505
4.305,0.0936687,0.00440476
4.335,0.0947423,0.00439936
4.365,0.0958569,0.00435526
4.395,0.0963203,0.00435487
4.425,0.0995906,0.00440959
4.455,0.100961,0.00441022
4.485,0.0991648,0.00435947
4.515,0.0995512,0.00438962
4.545,0.101652,0.0044174
4.575,0.101485,0.00441701
4.605,0.0990704,0.00432635
4.635,0.0967816,0.0043377
4.665,0.0985301,0.00432433
4.695,0.0995964,0.00438492
4.725,0.0986365,0.00431643
4.755,0.0997101,0.00440301
4.785,0.10568,0.0045284
4.815,0.108848,0.00456444
4.845,0.107118,0.00452652
4.875,0.108001,0.00457349
4.905,0.111639,0.00473503
4.935,0.112686,0.00475322
4.965,0.111849,0.00466328
4.995,0.111457,0.00466304
5.025,0.111736,0.00471397
5.055,0.115173,0.00461134
5.085,0.11623,0.00473475
5.115,0.113232,0.00464895
5.145,0.112032,0.00453938
5.175,0.111853,0.00466006
5.205,0.109675,0.0045629
5.235,0.114385,0.00472335
5.265,0.119653,0.0048831
5.295,0.119809,0.00473703
5.325,0.118386,0.00474863
5.355,0.116815,0.00476902
5.385,0.114753,0.00466732
5.415,0.115578,0.00469917
5.445,0.120953,0.00482147
5.475,0.125127,0.004914
5.505,0.121617,0.00482935
5.535,0.119562,0.00474886
5.565,0.125271,0.00492741
5.595,0.129134,0.0050458
5.625,0.125578,0.00493414
5.655,0.124511,0.00491063
5.685,0.124742,0.0048984
5.715,0.122029,0.004827
5.745,0.120647,0.00493307
5.775,0.119919,0.00528583
5.805,0.122263,0.00565048
5.835,0.12674,0.00579609
5.865,0.128681,0.00570372
5.895,0.129548,0.00545304
5.925,0.130159,0.005242
5.955,0.128181,0.00512138
5.985,0.127274,0.00508511
6.015,0.129816,0.00512391
6.045,0.130109,0.0051196
6.075,0.130945,0.00513829
6.105,0.131256,0.00517475
6.135,0.129983,0.00515151
6.165,0.127628,0.00511296
6.195,0.127199,0.00507919
6.225,0.127177,0.00501896
6.255,0.125581,0.00491898
6.285,0.123226,0.00479118
6.315,0.118448,0.00464021
6.345,0.11472,0.00448686
6.375,0.116822,0.00450294
6.405,0.120917,0.00459849
6.435,0.122509,0.00466253
6.465,0.125072,0.00479415
6.495,0.128049,0.00491043
6.525,0.135229,0.00507654
6.555,0.140553,0.00520315
6.585,0.137517,0.00517516
6.615,0.135947,0.00517656
6.645,0.136643,0.0051901
6.675,0.13645,0.00517756
6.705,0.142684,0.00528501
6.735,0.146913,0.00534057
6.765,0.141194,0.00525065
6.795,0.14385,0.00532422
6.825,0.146038,0.00535588
6.855,0.14642,0.00535064
6.885,0.151491,0.00544739
6.915,0.14993,0.00543332
6.945,0.14411,0.0053265
6.975,0.144973,0.00534984
7.005,0.1456,0.0053371
7.035,0.143369,0.00524884
7.065,0.142866,0.00521944
7.095,0.144822,0.00525807
7.125,0.149168,0.00535929
7.155,0.146582,0.00539191
7.185,0.142255,0.00544416
7.215,0.144048,0.0055402
7.245,0.147259,0.005736
7.275,0.144261,0.00578356
7.305,0.1434,0.00586467
7.335,0.147044,0.00606751
7.365,0.142508,0.00597264
7.395,0.140982,0.00585516
7.425,0.147377,0.0059452
7.455,0.149422,0.00598849
7.485,0.144562,0.00578738
7.515,0.14238,0.00553652
7.545,0.148293,0.00551341
7.575,0.150235,0.00555423
7.605,0.146632,0.00548474
7.635,0.143975,0.00537408
7.665,0.146687,0.00540034
7.695,0.150582,0.00546032
7.725,0.150687,0.00543117
7.755,0.151315,0.00545216
7.785,0.150604,0.00545599
7.815,0.150158,0.00546732
7.845,0.153554,0.00555882
7.875,0.153818,0.00555293
7.905,0.153003,0.00551666
7.935,0.149166,0.00542671
